seed,delta_base,vacancy_rate,simulated_unrate,distance
1430,0.005591841465662264,0.02639942525510946,0.045208333333333406,0.00020833333333340753
1433,0.008414562372847972,0.014658597078224754,0.047866666666666724,0.0028666666666667256
1434,0.007467323021613851,0.0791046611155878,0.048566666666666536,0.0035666666666665375
1436,0.00691708790103863,0.03517194854319468,0.04633749999999992,0.001337499999999922
1437,0.005369385440015709,0.0782981850796738,0.04213750000000005,0.0028624999999999484
1447,0.007812623918473576,0.05453731128007305,0.04908333333333337,0.004083333333333369
1455,0.007366756195900343,0.044248992907964524,0.04937499999999995,0.004374999999999948
1491,0.0062788844844953355,0.06764586476910947,0.042074999999999974,0.002925000000000025
1498,0.007976411642630887,0.03584359202119674,0.04824583333333321,0.0032458333333332118
1500,0.00817031504835616,0.016000399970562806,0.04942499999999994,0.004424999999999943
1506,0.00949123534341509,0.07510191286429355,0.04698333333333338,0.0019833333333333786
1519,0.0051340876067004085,0.02196449176154361,0.04334166666666661,0.0016583333333333866
1527,0.005341991811999126,0.0446826257946717,0.0426416666666668,0.0023583333333331985
1526,0.009719763437598481,0.06709337002207993,0.04984999999999984,0.0048499999999998405
1537,0.007518315275479337,0.06993013387494641,0.04679583333333337,0.0017958333333333715
1538,0.006661814725216997,0.04584885591786134,0.0465458333333334,0.001545833333333399
1547,0.005780570626576866,0.0777105634280522,0.046879166666666694,0.0018791666666666956
1575,0.0053591636759030385,0.024752117262837985,0.04625000000000001,0.001250000000000015
1577,0.008963678944322193,0.050673910941886086,0.04772083333333332,0.002720833333333325
1593,0.00625557350403474,0.0456625461925206,0.045183333333333464,0.0001833333333334658
1603,0.010399577331462656,0.016719725710314392,0.049124999999999974,0.004124999999999976
1612,0.00530268116354036,0.0711243860910744,0.04422499999999996,0.0007750000000000395
1611,0.008367774563207753,0.06717064906824541,0.04765833333333325,0.0026583333333332487
1622,0.005814963498746063,0.06670636753313858,0.04497916666666668,2.083333333331716e-05
1629,0.007748819571599379,0.0325250133004009,0.04817916666666677,0.0031791666666667745
1633,0.005522184567208055,0.07235993451724398,0.04107916666666667,0.003920833333333332
1630,0.007482651723074959,0.07749895419693878,0.04777916666666682,0.0027791666666668186
1648,0.006680536212910537,0.07906871392827183,0.043870833333333414,0.001129166666666584
1651,0.006159814412833853,0.020251074004290166,0.043074999999999974,0.001925000000000024
1662,0.006328413482184324,0.03465727417276026,0.04794166666666655,0.002941666666666551
1665,0.00722062739001267,0.04202872732208058,0.0475374999999999,0.002537499999999901
1674,0.006917487600413046,0.07851034477060863,0.04827499999999996,0.0032749999999999585
1680,0.0074302378570997776,0.027105088922904884,0.0462041666666666,0.0012041666666666034
1700,0.009812846952145836,0.061230184086578404,0.04947916666666663,0.004479166666666631
1706,0.00514977970501308,0.06850579408834978,0.04549583333333329,0.0004958333333332926
1709,0.009048440869964649,0.01316579045436887,0.04713333333333336,0.002133333333333362
1729,0.006690811628284242,0.02179202358354625,0.04761249999999995,0.002612499999999948
1757,0.007738473470474199,0.077809860135031,0.04442500000000005,0.0005749999999999506
1758,0.007404324332854656,0.0780916345289361,0.04803333333333326,0.003033333333333263
1761,0.008407938359651874,0.054195434901442296,0.04852500000000004,0.003525000000000042
1768,0.008809870748555961,0.029211307720631685,0.048395833333333305,0.0033958333333333063
1776,0.00839107834198749,0.05580549545912732,0.04652916666666673,0.0015291666666667342
1819,0.008039584433110671,0.0449466984157595,0.04775416666666665,0.0027541666666666548
1827,0.0060304906768834906,0.012503604693480549,0.0411583333333333,0.0038416666666667015
1848,0.0080950586321292,0.07304119101910057,0.049237499999999934,0.004237499999999936
1853,0.008675345967764689,0.02774212356625163,0.04641250000000008,0.0014125000000000804
1868,0.009426006283248892,0.06103857506082717,0.04796250000000002,0.0029625000000000207
1875,0.006412082389430525,0.04687206957229327,0.04419583333333332,0.0008041666666666752
1911,0.008990185560517425,0.04531172150263599,0.049620833333333336,0.004620833333333338
1918,0.007129978645445142,0.018992372103658256,0.0465916666666667,0.0015916666666666995
1929,0.006790529312656642,0.02822598493905161,0.049045833333333455,0.004045833333333457
1943,0.005697636210734115,0.06015261277998719,0.04798749999999996,0.0029874999999999624
1948,0.006934521739551933,0.05629835375139837,0.04698333333333338,0.0019833333333333786
1977,0.005641828939645637,0.017405151066014802,0.041033333333333366,0.003966666666666632
1979,0.005571697248822021,0.06322921668428771,0.0489750000000001,0.0039750000000001035
